rank,segment,priority,club_name,club_number,district,city,country,meeting,format,language,contact_email,contact_channel,contact_notes,website,why_this_week,pitch_angle,status,sent_date,reply_notes,source_notes
1,1-existing-user,P0,Women L.E.A.D. Toastmasters Club,07854613,101,San Jose / Santa Clara CA,USA,Wed 7:00-8:10 PM PT,online,English,womenleadtm@gmail.com,email,Club email; co-presidents Sarah & Chandana (first names only per site),https://womenleadtm.org/,Survey-confirmed user - warm follow-up,"How is the app working for you? Ask for feedback, a review, and a referral to a neighbouring club.",todo,,,Confirmed user (survey 2026-08-20). Fully-online Zoom club - strongest product fit. Ask about app experience.
2,1-existing-user,P0,Malabar Toastmasters Club,28676179,121,Kozhikode (Calicut) Kerala,India,Sun 10:30 AM-12:30 PM IST,in-person,English,,contact form: https://www.toastmasters.org/Find-a-Club/28676179/contact-club,No public email; TI contact form + phone +91 98954 55058; Instagram @malabartoastmastersclub,https://www.toastmasters.org/Find-a-Club/28676179-malabar-toastmasters-club,Survey-confirmed user - warm follow-up,"How is the app working for you? Ask for feedback, a review, and a referral to a neighbouring club.",todo,,,Confirmed user (survey 2026-08-31; heavy usage Kozhikode/Sulthanbathery/Palakkad). Chartered Apr 2023.
3,1-existing-user,P0,Jacaranda Chinese English Toastmasters,28678155,129,Harare,Zimbabwe,2nd & 4th Fri + Sat 2-4 PM,in-person,Chinese/English bilingual,,contact form: https://www.toastmasters.org/Find-a-Club/28678155/contact-club,No public email; TI contact form; phone +263 773 881 881,https://www.toastmasters.org/Find-a-Club/28678155-jacaranda-chinese-english-toastmasters,Survey-confirmed user - warm follow-up,"How is the app working for you? Ask for feedback, a review, and a referral to a neighbouring club.",todo,,,Confirmed user (survey 2026-08-20). Chartered Sep 2025 - very new; only Chinese/bilingual club in D129.
4,1-existing-user,P0,Sapphire City Toastmasters,00009256,70,Inverell NSW,Australia,1st & 3rd Mon 7:00 PM,in-person (possibly hybrid - unverified),English,,contact form: https://www.toastmasters.org/Find-a-Club/00009256/contact-club,No public email; TI contact form; phone +61 419 380 059,https://www.toastmasters.org/Find-a-Club/00009256-sapphire-city-toastmasters,Survey-confirmed user - warm follow-up,"How is the app working for you? Ask for feedback, a review, and a referral to a neighbouring club.",todo,,,Confirmed user (survey 2026-08-17). 14 members; chartered 1993; venue recently changed - confirm.
5,2-likely-user-mauritius,P1,Plateau Toastmasters Club,592015,114,Moka,Mauritius,1st & 3rd Fri 18:00,hybrid,English,contact@plateautoastmasters.club,email,,http://plateautoastmasters.club/,"Biggest anonymous usage cluster (~15 users, D114); open hybrid club",Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Mauritius = biggest anonymous usage cluster (~15 users Jul-Aug 2026). Hybrid club.
6,2-likely-user-mauritius,P1,PoWerCommunicators,7235882,114,Moka (PwC Mauritius),Mauritius,1st & 3rd Wed 18:00,hybrid,English,yamini.rangasamy@gmail.com,email,Corporate (PwC) but published personal email,,"Biggest anonymous usage cluster (~15 users, D114); open hybrid club",Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Hybrid club in usage cluster.
7,2-likely-user-mauritius,P1,ACE Speakers,7335249,114,Moka,Mauritius,1st & 3rd Sat 11:00-13:00,hybrid,English,karuna.rootzconsult@gmail.com,email,,http://acespeakers.com/,"Biggest anonymous usage cluster (~15 users, D114); open hybrid club",Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Hybrid club in usage cluster.
8,2-likely-user-mauritius,P1,ELIO Toastmasters Club,7864607,114,St Pierre,Mauritius,2nd & 4th Sat 14:00-16:00,hybrid,English,elio.theclub@gmail.com,email,,,"Biggest anonymous usage cluster (~15 users, D114); open hybrid club",Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Hybrid club in usage cluster.
9,2-likely-user-kansas,P1,T.G.I.F. Club,4679,209,Overland Park KS,USA,2nd & 4th Fri 7:00 AM,hybrid,English,vpm@tgiftoastmasters.com,email,VP Membership role address,http://www.tgiftoastmasters.com/,Heavy anonymous usage KC metro Jun-Aug 2026; open hybrid club,Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,KC metro = heavy anonymous usage Jun-Aug 2026. Open hybrid club.
10,2-likely-user-kansas,P1,Articulators Club,9953,209,Overland Park KS (T-Mobile HQ),USA,1st & 3rd Thu 12:00 PM,hybrid,English,kathydraperfitness@gmail.com,email,,http://articulatorskc.toastmastersclubs.org/,Heavy anonymous usage KC metro Jun-Aug 2026; open hybrid club,Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Open hybrid club.
